Passengers,Distance,TotalCharge,AveSpeed,trip_duration,day,dayofweek,hour,TripCount
1,2.4,14.15,11.9833564493759,12,1,1,23,14
1,2.0,12.96,10.8108108108108,70,1,1,22,14
1,9.36,37.34,18.3930131004367,88,1,1,22,14
1,3.1,15.95,14.2710997442455,69,1,1,22,14
1,3.68,17.88,16.3555555555556,24,1,1,22,14
1,7.58,38.81,16.7001223990208,39,1,1,22,14
5,9.79,41.81,29.8425063505504,31,1,1,22,14
1,8.9,41.19,23.1670281995662,36,1,1,22,14
1,3.49,13.8,16.359375,28,1,1,22,14
1,5.7,24.35,16.5885206143897,40,1,1,22,14
2,9.19,43.61,18.4517568321249,52,1,1,22,14
1,2.0,15.8,5.31365313653137,45,1,1,22,14
1,7.7,31.3,20.1893663510561,48,1,1,22,14
2,2.95,13.8,16.59375,14,1,1,22,14
1,8.7,44.19,17.9073756432247,57,1,1,22,14
1,4.51,18.8,14.9778597785978,49,1,1,22,14
1,2.6,14.15,14.6478873239437,44,1,1,22,14
3,2.54,17.25,10.5103448275862,50,1,1,22,14
3,9.94,44.21,21.4918918918919,64,1,1,22,14
3,9.82,37.84,21.6750459840589,73,1,1,22,14
1,2.8,14.15,16.2843295638126,57,1,1,22,14
4,9.0,36.34,18.848167539267,76,1,1,22,14
1,1.7,9.8,11.1070780399274,63,1,1,22,14
1,4.6,16.8,21.1764705882353,67,1,1,22,14
1,2.17,17.16,7.83550651955867,45,1,1,22,14
1,2.13,17.16,6.54824935952178,49,1,1,12,14
2,5.6,23.5,24.8275862068966,18,1,1,22,14
2,3.96,23.5,9.85210780926054,67,1,1,8,14
5,1.61,14.76,6.49775784753363,63,1,1,16,14
1,1.2,11.8,4.92588369441277,44,1,1,16,14
1,0.7,10.8,3.38709677419355,50,1,1,16,14
1,1.4,17.8,3.97476340694006,63,1,1,16,14
1,7.2,39.99,14.9913244650087,60,1,1,16,14
1,3.87,21.3,8.53153704837722,56,1,1,16,14
1,6.69,30.34,16.9248067463106,41,1,1,16,14
1,5.19,25.3,15.3651315789474,51,1,1,16,14
1,1.81,17.8,4.99693251533742,41,1,1,16,14
5,8.73,30.8,16.6022187004754,37,1,1,16,14
1,1.91,14.8,5.52733118971061,30,1,1,16,14
6,0.66,13.56,2.77570093457944,27,1,1,16,14
1,2.6,22.3,5.81366459627329,32,1,1,16,14
1,2.4,16.56,8.62275449101796,22,1,1,16,14
2,1.42,20.16,3.2293114339861,83,1,1,15,14
1,3.47,18.8,8.69311064718163,32,1,1,16,14
2,1.08,12.96,5.27544097693352,16,1,1,16,14
4,1.84,9.3,11.1703204047218,62,1,1,15,14
1,1.36,17.8,2.87661574618096,72,1,1,15,14
1,3.86,28.3,6.88261515601783,67,1,1,16,14
1,1.9,19.55,4.85450674237048,58,1,1,16,14
1,8.4,42.99,15.044776119403,77,1,1,16,14
1,2.8,24.36,5.79310344827586,73,1,1,16,14
1,0.85,17.76,2.44408945686901,66,1,1,17,14
1,0.9,12.95,4.26877470355731,58,1,1,17,14
6,1.93,13.3,7.35238095238095,58,1,1,17,14
2,1.5,16.8,3.7318590186593,66,1,1,17,14
1,5.8,29.8,14.4099378881988,65,1,1,17,14
4,1.59,15.8,4.1268925739005,62,1,1,17,14
1,1.0,11.8,5.57275541795666,30,1,1,17,14
4,3.96,26.76,7.90682196339434,54,1,1,17,14
3,1.1,11.3,4.81751824817518,28,1,1,17,14
1,2.28,15.99,10.3505674653216,18,1,1,22,14
2,1.39,11.3,6.53263707571801,35,1,1,17,14
2,1.06,12.8,3.82364729458918,32,1,1,17,14
1,1.2,14.1,5.24271844660194,21,1,1,17,14
1,1.6,13.8,5.39325842696629,25,1,1,17,14
1,2.94,18.36,10.4378698224852,75,1,1,16,14
2,1.7,27.95,2.66782911944202,96,1,1,16,14
1,5.0,23.16,14.9130074565037,22,1,1,17,14
1,4.7,24.3,10.2483343428225,27,1,1,17,14
1,2.5,16.8,6.74157303370786,63,1,1,16,14
1,5.85,21.8,17.7571669477234,60,1,1,16,14
1,1.3,15.35,5.10917030567686,36,1,1,17,14
1,5.14,27.96,10.3432084963667,51,1,1,12,14
1,0.6,11.6,3.04225352112676,26,1,1,12,14
2,1.89,15.38,6.88663967611336,26,1,1,12,14
1,3.2,12.8,16.8175182481752,71,1,1,0,14
1,4.5,15.3,30.6238185255198,34,1,1,0,14
1,6.34,24.36,25.2477876106195,61,1,1,1,14
2,3.2,15.35,20.1047120418848,68,1,1,1,14
2,5.2,20.3,15.4328112118714,80,1,1,1,14
5,3.88,14.3,20.2141823444284,18,1,1,3,14
1,5.2,22.55,19.1606960081883,39,1,1,2,14
5,5.38,17.3,35.2786885245902,38,1,1,4,14
2,2.18,9.3,20.0716112531969,55,1,1,2,14
1,4.09,17.76,21.2161383285303,19,1,1,4,14
1,3.8,15.3,17.7431906614786,46,1,1,4,14
1,8.79,29.3,19.2833638025594,46,1,1,4,14
1,1.7,12.35,11.6571428571429,32,1,1,4,14
2,3.25,12.3,20.0,46,1,1,5,14
1,5.2,18.3,21.0810810810811,68,1,1,5,14
6,1.57,9.3,11.7995824634656,63,1,1,5,14
3,7.0,27.8,12.6442548921224,36,1,1,6,14
1,2.4,12.6,14.7189097103918,22,1,1,6,14
6,3.43,13.8,13.7047724750277,33,1,1,6,14
1,9.52,34.56,28.6555183946488,41,1,1,0,14
1,4.0,14.8,18.848167539267,70,1,1,0,14
1,3.28,14.3,20.8621908127208,65,1,1,0,14
1,2.0,13.35,13.5338345864662,50,1,1,0,14
1,2.8,14.65,17.8407079646018,25,1,1,9,14
1,1.38,14.04,5.88625592417062,35,1,1,9,14
1,1.0,8.8,6.01001669449082,30,1,1,9,14
1,1.26,10.56,8.35359116022099,23,1,1,9,14
1,1.4,12.95,6.19926199261993,69,1,1,8,14
1,3.8,15.3,17.3604060913706,14,1,1,9,14
1,2.7,17.3,7.76978417266187,74,1,1,8,14
1,2.34,15.3,8.14700193423598,19,1,1,9,14
1,1.8,14.0,7.43119266055046,16,1,1,9,14
1,9.2,31.8,17.5238095238095,51,1,1,6,14
1,1.4,8.8,8.81118881118881,64,1,1,8,14
1,1.3,11.63,7.08018154311649,61,1,1,8,14
6,1.78,14.75,6.8755364806867,64,1,1,8,14
2,3.27,17.76,12.1111111111111,17,1,1,0,14
1,9.7,36.35,27.34534064213,23,1,1,0,14
1,9.2,31.8,24.0348330914369,25,1,1,0,14
1,7.3,30.35,24.8863636363636,20,1,1,0,14
1,2.08,12.25,14.3173996175908,14,1,1,0,14
1,2.1,12.05,19.6875,16,1,1,0,14
1,5.16,20.8,13.7294900221729,39,1,1,0,14
3,3.35,21.3,7.72581678411275,85,1,1,8,14
4,1.1,13.3,3.39331619537275,45,1,1,9,14
1,1.8,8.8,14.1484716157205,27,1,1,6,14
1,1.94,9.3,14.6415094339623,53,1,1,6,14
1,4.93,22.3,9.95401009534492,37,1,1,8,14
1,1.7,14.15,6.53846153846154,27,1,1,8,14
5,1.49,13.56,5.81148429035753,27,1,1,8,14
3,3.0,15.8,11.0316649642492,28,1,1,8,14
1,8.2,43.6,13.0561698363556,51,1,1,8,14
2,1.6,10.0,9.94818652849741,28,1,1,8,14
1,5.8,26.75,12.6392251815981,46,1,1,8,14
1,2.7,17.75,8.46689895470383,38,1,1,8,14
5,5.94,31.56,10.9269289729177,54,1,1,8,14
2,3.43,16.8,8.54532871972318,46,1,1,8,14
1,1.6,13.55,6.78445229681979,42,1,1,8,14
3,1.65,10.3,7.48110831234257,43,1,1,8,14
1,1.24,12.8,4.48643216080402,47,1,1,8,14
1,3.0,15.96,14.7742818057456,71,1,1,7,14
2,7.0,36.35,10.4175279040926,74,1,1,8,14
5,7.49,33.34,13.9276859504132,76,1,1,8,14
1,7.5,35.15,11.7238384715588,83,1,1,8,14
1,1.7,11.3,9.85507246376812,56,1,1,8,14
1,2.7,17.75,9.4921875,63,1,1,8,14
1,1.3,9.8,6.11764705882353,19,1,1,8,14
1,1.53,11.0,9.83571428571429,65,1,1,7,14
1,2.7,21.35,6.31168831168831,27,1,1,8,14
2,2.74,21.3,8.19950124688279,69,1,1,7,14
2,1.6,11.75,9.23076923076923,56,1,1,6,14
1,3.92,17.3,17.2941176470588,70,1,1,6,14
2,2.22,11.8,15.7944664031621,45,1,1,6,14
1,1.6,9.8,9.05660377358491,69,1,1,6,14
1,1.6,10.55,12.1518987341772,8,1,1,7,14
1,2.0,10.8,10.2127659574468,24,1,1,7,14
1,9.04,28.3,26.2240128928284,37,1,1,7,14
3,1.7,8.8,12.6708074534161,14,1,1,7,14
1,1.8,12.35,9.54344624447717,32,1,1,7,14
1,1.8,12.35,9.89312977099237,45,1,1,6,14
5,3.17,17.29,12.6378737541528,41,1,1,7,14
1,2.3,12.8,10.0975609756098,38,1,1,7,14
2,2.72,10.8,16.9705372616984,43,1,1,7,14
5,1.25,10.3,7.07547169811321,43,1,1,7,14
1,1.3,10.8,7.02702702702703,46,1,1,7,14
1,1.44,11.76,8.04968944099379,50,1,1,7,14
1,1.18,12.25,6.08595988538682,54,1,1,7,14
1,1.7,12.8,7.39130434782609,54,1,1,7,14
2,5.63,26.3,9.93042626163645,78,1,1,7,14
1,1.6,11.16,9.71332209106239,66,1,1,7,14
1,2.6,11.3,14.7169811320755,34,1,1,7,14
3,6.98,30.96,14.6008134805346,39,1,1,22,14
1,1.01,11.62,5.18687589158345,35,1,1,9,14
1,2.56,13.3,12.0628272251309,39,1,1,9,14
3,3.94,28.8,6.4619589977221,56,1,1,11,14
2,1.0,11.75,4.50563204005006,53,1,1,11,14
1,1.62,12.36,8.0,52,1,1,11,14
1,3.27,16.8,8.51808972503618,58,1,1,11,14
2,4.54,28.5,8.92626979792463,58,1,1,11,14
1,0.99,9.3,5.50850077279753,28,1,1,11,14
1,8.66,41.21,18.5681953543776,61,1,1,11,14
1,9.06,32.3,25.4613583138173,48,1,1,11,14
1,7.3,32.25,16.0537568723274,58,1,1,11,14
1,4.4,23.79,12.212798766384,43,1,1,11,14
1,0.9,11.0,5.07042253521127,17,1,1,11,14
1,7.7,29.8,12.6923076923077,51,1,1,11,14
4,3.63,17.64,10.0445810914681,31,1,1,11,14
1,3.6,22.85,8.85245901639344,30,1,1,11,14
1,0.7,11.15,3.47586206896552,25,1,1,11,14
2,1.7,17.15,4.91566265060241,34,1,1,11,14
1,4.7,21.95,16.6371681415929,30,1,1,11,14
1,7.0,25.3,16.7441860465116,34,1,1,11,14
1,1.1,11.15,5.87537091988131,11,1,1,11,14
1,1.6,11.75,8.07854137447405,53,1,1,11,14
1,1.02,13.3,3.08571428571429,68,1,1,11,14
3,0.9,15.3,2.99445471349353,62,1,1,11,14
1,1.07,13.5,4.48428405122235,60,1,1,11,14
1,1.26,13.5,5.18993135011442,20,1,1,12,14
1,1.5,13.3,4.65918895599655,24,1,1,12,14
1,1.3,14.8,3.40363636363636,34,1,1,12,14
2,2.65,13.8,9.57831325301205,20,1,1,12,14
1,6.35,25.84,26.4277456647399,74,1,1,11,14
5,1.88,12.88,9.4,64,1,1,11,14
1,1.22,21.19,2.82807469414037,84,1,1,11,14
1,1.7,23.15,3.16770186335404,86,1,1,11,14
5,2.8,14.3,8.71218668971478,73,1,1,11,14
2,1.75,14.8,5.97722960151803,22,1,1,11,14
1,1.02,11.76,4.83794466403162,14,1,1,12,14
2,4.4,25.8,6.5319587628866,88,1,1,11,14
1,1.6,14.3,4.53900709219858,72,1,1,11,14
1,1.7,17.85,4.98371335504886,78,1,1,11,14
1,1.2,14.3,4.90909090909091,54,1,1,11,14
1,1.3,8.8,7.8,57,1,1,11,14
1,3.77,16.3,12.4285714285714,68,1,1,11,14
1,1.86,14.76,6.75681130171544,66,1,1,11,14
2,1.4,11.4,8.47058823529412,49,1,1,11,14
1,1.45,12.96,6.36585365853659,52,1,1,11,14
1,1.17,8.8,7.10286677908937,57,1,1,11,14
1,3.4,17.75,13.4357848518112,40,1,1,9,14
1,2.5,14.8,7.20576461168935,80,1,1,10,14
1,3.7,23.3,6.1953488372093,93,1,1,10,14
1,3.2,23.15,6.57159155733029,87,1,1,9,14
4,1.5,11.76,7.68136557610242,15,1,1,10,14
1,1.46,17.16,4.25242718446602,29,1,1,10,14
2,4.5,21.8,9.18367346938776,35,1,1,10,14
5,1.12,8.8,6.64250411861615,67,1,1,9,14
2,1.3,10.3,5.5188679245283,66,1,1,9,14
1,0.7,12.8,2.4633431085044,69,1,1,9,14
1,1.21,11.0,7.32100840336134,64,1,1,9,14
1,1.72,14.3,4.78516228748068,66,1,1,9,14
3,1.2,12.8,3.91304347826087,78,1,1,9,14
2,1.8,10.8,8.3183568677792,49,1,1,9,14
1,4.32,20.3,10.601226993865,64,1,1,9,14
1,1.36,14.69,5.3391494002181,50,1,1,9,14
1,3.41,18.8,8.38524590163935,53,1,1,9,14
1,9.5,44.14,24.0,52,1,1,9,14
1,1.4,15.38,4.66666666666667,51,1,1,9,14
1,1.7,15.95,5.35433070866142,46,1,1,9,14
1,3.14,14.8,9.69468267581475,32,1,1,9,14
1,2.4,15.95,8.4375,34,1,1,9,14
1,4.09,19.3,10.369014084507,50,1,1,10,14
6,0.86,10.3,3.6945107398568,30,1,1,10,14
1,2.0,13.3,8.98876404494382,37,1,1,10,14
1,1.35,8.8,7.95417348608838,30,1,1,10,14
2,1.6,14.8,4.41379310344828,24,1,1,11,14
1,1.3,10.3,6.29878869448183,19,1,1,11,14
2,1.0,9.8,4.6814044213264,52,1,1,10,14
1,2.04,16.3,5.00954979536153,63,1,1,10,14
1,2.5,13.3,8.58778625954199,56,1,1,10,14
1,4.1,18.3,12.0686835650041,55,1,1,10,14
4,2.69,19.8,5.44963421496905,67,1,1,10,14
2,4.8,18.3,13.4789391575663,58,1,1,10,14
1,3.07,19.8,6.10945273631841,84,1,1,10,14
1,1.0,10.55,5.52147239263804,22,1,1,11,14
1,1.67,12.8,5.44072398190045,51,1,1,10,14
2,1.91,12.3,7.27619047619048,63,1,1,10,14
1,1.64,12.36,8.13223140495868,59,1,1,10,14
2,0.9,13.55,3.41052631578947,58,1,1,10,14
1,3.33,14.3,13.9557625145518,56,1,1,10,14
1,1.43,10.8,6.20240963855422,35,1,1,10,14
2,1.2,10.56,7.55244755244755,42,1,1,10,14
1,1.71,20.16,3.8888186986734,57,1,1,10,14
5,1.31,12.36,6.29639519359146,42,1,1,10,14
1,0.7,13.55,2.5609756097561,45,1,1,10,14
1,6.1,29.75,12.3440134907251,65,1,1,10,14
1,10.03,41.34,22.8821292775665,36,1,1,22,14
4,2.02,13.56,8.60591715976331,62,1,1,8,14
1,4.9,20.0,19.9322033898305,22,1,1,22,14
1,2.84,16.3,7.72205438066465,55,1,1,19,14
1,7.5,38.05,11.8213660245184,72,1,1,19,14
1,1.23,16.3,2.96981891348089,61,1,1,19,14
5,1.67,15.3,7.01516919486581,52,1,1,19,14
1,0.8,11.8,3.73540856031128,51,1,1,19,14
1,5.0,18.3,21.7391304347826,52,1,1,19,14
2,1.5,16.3,4.16024653312789,63,1,1,19,14
1,5.05,25.8,8.65302237029986,76,1,1,19,14
5,9.37,36.3,25.8879508825787,63,1,1,19,14
1,1.8,20.75,4.17256922086285,69,1,1,19,14
1,2.5,21.35,6.22406639004149,67,1,1,19,14
1,2.39,16.8,8.0411214953271,67,1,1,19,14
1,2.05,14.75,9.20199501246883,63,1,1,19,14
1,2.79,19.3,7.22070452911574,74,1,1,19,14
1,3.56,25.56,7.00710770913067,84,1,1,19,14
4,1.28,14.3,3.74938974776241,74,1,1,19,14
1,1.6,14.75,6.68213457076566,69,1,1,19,14
1,7.7,27.3,18.6290322580645,58,1,1,19,14
1,9.31,47.92,19.1410622501428,84,1,1,19,14
2,1.7,15.3,4.71858134155744,51,1,1,19,14
1,2.8,21.3,5.90509666080844,55,1,1,19,14
1,0.82,13.3,2.68119891008174,71,1,1,18,14
1,2.6,24.3,4.97872340425532,84,1,1,18,14
1,2.1,15.96,7.99154334038055,69,1,1,18,14
1,2.68,22.56,6.1687979539642,83,1,1,18,14
1,7.9,44.19,13.4722880151587,37,1,1,19,14
1,3.9,30.3,5.82330982994608,44,1,1,19,14
1,2.1,15.96,8.22633297062024,21,1,1,19,14
1,1.07,10.8,5.17046979865772,18,1,1,19,14
2,1.0,14.15,3.97350993377483,22,1,1,19,14
1,1.74,19.91,3.69339622641509,36,1,1,19,14
1,1.04,16.3,2.61087866108787,34,1,1,19,14
3,0.75,12.3,2.88461538461538,27,1,1,19,14
1,1.7,12.3,8.90829694323144,23,1,1,19,14
1,2.49,16.56,9.3765690376569,34,1,1,19,14
2,7.87,29.8,13.4850071394574,54,1,1,19,14
1,6.97,32.8,12.9540526587506,52,1,1,19,14
6,2.06,12.3,8.42727272727273,35,1,1,19,14
2,2.25,12.3,10.3448275862069,41,1,1,19,14
1,5.98,35.3,8.00297397769517,97,1,1,18,14
1,1.8,18.35,4.71272727272727,78,1,1,19,14
1,0.83,11.3,3.35353535353535,73,1,1,19,14
1,1.3,10.8,5.69343065693431,53,1,1,20,14
3,3.1,12.3,20.7821229050279,49,1,1,20,14
1,4.5,15.3,28.9803220035778,51,1,1,20,14
1,6.98,23.8,20.9924812030075,65,1,1,20,14
2,1.3,9.3,7.56058158319871,55,1,1,20,14
1,3.49,16.8,10.7938144329897,66,1,1,20,14
1,2.23,14.76,8.73558215451578,63,1,1,20,14
2,8.16,40.61,21.3799126637555,71,1,1,20,14
1,1.9,14.12,10.1634472511144,61,1,1,20,14
1,8.2,38.84,17.7938517179023,81,1,1,20,14
5,5.65,27.8,8.92496709082931,92,1,1,20,14
3,2.41,18.36,7.1880695940348,77,1,1,20,14
5,1.8,11.76,11.8681318681319,66,1,1,20,14
1,2.57,14.76,11.7262357414449,71,1,1,20,14
1,9.2,26.3,44.16,71,1,1,20,14
1,2.5,14.8,9.34579439252336,16,1,1,21,14
1,3.6,19.55,12.0558139534884,26,1,1,22,14
3,9.33,35.34,24.2162941600577,62,1,1,20,14
1,2.9,15.3,12.4433849821216,70,1,1,19,14
1,9.0,45.34,22.6890756302521,62,1,1,20,14
1,2.0,14.0,9.29032258064516,36,1,1,20,14
1,9.0,42.39,20.6632653061225,27,1,1,20,14
1,5.27,36.8,6.64053202660133,49,1,1,20,14
2,1.0,11.15,5.81583198707593,12,1,1,20,14
1,2.08,14.8,7.25581395348837,20,1,1,20,14
5,3.63,20.54,14.4557522123894,20,1,1,20,14
3,3.25,21.96,8.07453416149068,30,1,1,20,14
1,6.4,27.8,11.1143270622287,42,1,1,20,14
1,1.15,13.56,4.74770642201835,27,1,1,20,14
1,9.49,39.34,28.709243697479,34,1,1,20,14
1,7.2,28.55,21.021897810219,37,1,1,20,14
1,2.9,20.3,6.44444444444444,43,1,1,20,14
1,2.5,16.0,8.07899461400359,36,1,1,20,14
1,2.07,13.3,7.4894472361809,34,1,1,20,14
1,1.4,9.8,7.57894736842105,29,1,1,20,14
1,8.5,42.89,19.9608610567515,44,1,1,20,14
1,8.5,40.6,21.6101694915254,42,1,1,20,14
1,1.5,13.8,4.83870967741935,42,1,1,20,14
1,10.81,36.8,35.5722120658135,51,1,1,20,14
5,1.08,18.3,3.49326145552561,67,1,1,18,14
1,1.5,10.3,9.04522613065327,14,1,1,20,14
1,1.07,9.8,6.52881355932203,54,1,1,18,14
1,3.6,18.95,12.3311132254995,55,1,1,21,14
1,2.1,18.35,6.69619131975199,53,1,1,17,14
1,1.8,13.3,6.40949554896142,48,1,1,21,14
2,9.5,42.99,23.8993710691824,53,1,1,21,14
6,8.57,44.21,14.9766990291262,68,1,1,17,14
1,1.2,9.3,7.24832214765101,37,1,1,21,14
1,3.8,18.36,19.1596638655462,45,1,1,17,14
1,1.02,10.3,4.76264591439689,36,1,1,21,14
1,1.7,12.95,9.06666666666667,42,1,1,17,14
2,9.35,39.84,24.7318148420279,45,1,1,21,14
1,3.2,18.3,11.2941176470588,48,1,1,17,14
1,10.1,36.95,29.7058823529412,33,1,1,21,14
1,2.4,14.75,11.0769230769231,26,1,1,21,14
2,2.8,12.3,14.5664739884393,24,1,1,21,14
5,3.45,15.96,23.6571428571429,20,1,1,21,14
1,2.6,13.8,12.1558441558442,22,1,1,21,14
1,8.88,36.96,17.4402618657938,39,1,1,21,14
1,2.61,15.36,10.7260273972603,49,1,1,21,14
6,8.29,25.3,30.2984771573604,24,1,1,21,14
1,4.06,22.56,11.1828615149197,60,1,1,21,14
1,2.95,15.96,13.3249686323714,51,1,1,21,14
1,10.04,39.84,27.4441913439636,81,1,1,21,14
1,2.1,30.3,3.00357568533969,87,1,1,18,14
2,3.6,13.3,31.2289156626506,14,1,1,22,14
1,3.57,18.36,14.6712328767123,71,1,1,21,14
1,2.73,14.76,14.04,68,1,1,21,14
1,2.1,13.3,8.1203007518797,75,1,1,21,14
1,4.75,18.8,16.7155425219941,61,1,1,21,14
5,10.99,36.3,34.5235602094241,72,1,1,21,14
6,9.1,42.3,26.8524590163934,73,1,1,21,14
1,1.0,11.75,5.17985611510791,64,1,1,21,14
1,3.1,15.95,14.4747081712062,65,1,1,21,14
1,1.95,11.62,17.0802919708029,56,1,1,21,14
2,2.91,17.76,10.40317775571,69,1,1,21,14
1,2.5,14.8,11.5681233933162,61,1,1,21,14
1,1.7,12.8,7.42718446601942,58,1,1,21,14
1,3.7,18.3,13.3066933066933,58,1,1,21,14
